gebied;permalink;imgurl;;;
Q2235193;https://hdl.handle.net/21.12102/362B31B0FB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/500x500/3c257f20-55e2-e838-1512-ee0e755a696f.jpg;;;
Q2235193;https://hdl.handle.net/21.12102/E67A3742FB8E11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/500x500/e6f87a03-992a-01da-b44b-d770dc8945a3.jpg;;;
Q2235193;https://hdl.handle.net/21.12102/F752421645F27C30A4D2B8772E1C6B72;https://images.memorix.nl/ranh/thumb/1000x1000/2cc1175b-abfa-78f3-ab83-ae921bfd8982.jpg;;;
Q2235193;https://hdl.handle.net/21.12102/C36C8BABD63BAA4E71BA04022D992CBE;https://images.memorix.nl/ranh/thumb/500x500/b8d636a2-97c0-8651-17da-d62c808d802d.jpg;;;
Q2235193;https://hdl.handle.net/21.12102/39A000BF6BE24A0BB7BEBB1976A932CA;https://images.memorix.nl/ranh/thumb/500x500/015d2fcc-b98f-5269-8de6-0aceebb58848.jpg;;;
Q2235193;https://hdl.handle.net/21.12102/29B1DA9DCAEF1A4656CE9FF801E70A84;https://images.memorix.nl/ranh/thumb/500x500/37239de7-082b-e5bf-a91c-ac7c0aa63d9e.jpg;;;
Q1123665;https://hdl.handle.net/20.500.11840/1240734;http://collectie.wereldculturen.nl/lodimages/cc/imageproxy.ashx?filename=images/Images/NMVW//7082-nf-341-20.jpg&cache=yes;;;
Q1123665;https://hdl.handle.net/20.500.11840/1244772;http://collectie.wereldculturen.nl/lodimages/cc/imageproxy.ashx?filename=images/Images/NMVW//7082-nf-1074-12.jpg&cache=yes;;;
Q1123665;https://hdl.handle.net/20.500.11840/1244774;http://collectie.wereldculturen.nl/lodimages/cc/imageproxy.ashx?filename=images/Images/NMVW//7082-nf-1074-14.jpg&cache=yes;;;
Q1123665;https://hdl.handle.net/20.500.11840/904080;http://collectie.wereldculturen.nl/lodimages/cc/imageproxy.ashx?filename=images/Images/RV//rmv_a005-01-0030_x.jpg&cache=yes;;;
Q1123665;https://hdl.handle.net/21.12123/105629;https://cc.museon.nl/cc/imageproxy.ashx?server=localhost&port=17512&filename=images/fotografie/D003756.jpg;;;
Q2370412;https://rkd.nl/explore/images/199673;https://images.rkd.nl/rkd/thumb/1000x1000/19eeee4c-e07a-9262-cc06-35acae6f88cf.jpg;;;
Q2370412;https://rkd.nl/explore/images/201164;https://images.rkd.nl/rkd/thumb/1000x1000/71c28909-2c22-7c31-4562-58b24afb0497.jpg;;;
Q2370412;https://archief.amsterdam/beeldbank/detail/4ebbe909-579c-8554-2ac7-9c08a2c3adc7;https://images.memorix.nl/ams/thumb/500x500/16dd9c7a-2b3b-1047-efb3-9e592b3f9854.jpg;;;
Q2370412;https://archief.amsterdam/beeldbank/detail/94bd9cbb-d72c-9b80-1367-840fa80f5e9a;https://images.memorix.nl/ams/thumb/500x500/b4649b23-5299-b020-12fc-cb6911de71ac.jpg;;;
Q2370412;https://archief.amsterdam/beeldbank/detail/ddfcb053-b6be-6cf5-7490-d180d11dc0db;https://images.memorix.nl/ams/thumb/500x500/b70c9180-8081-99e0-2f2c-64b0d50042ae.jpg;;;
Q2923688;https://hdl.handle.net/21.12133/B18A3294183E4D1BA44589010AA617A2;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4080/NL-RtSA_4080_XXVIII-15-00-03-01.jpg?format=thumb&size=500x500;;;
Q2923688;https://hdl.handle.net/21.12133/B6E4D525BD42488CB648819A3C7FBF1D;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4080/NL-RtSA_4080_XXVIII-15-13-1-01.jpg?format=thumb&size=500x500;;;
Q2923688;https://hdl.handle.net/21.12133/481717D42CB8487BACDBA959657ECCF5;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4080/NL-RtSA_4080_XXVIII-15-18-01.jpg?format=thumb&size=500x500;;;
Q2923688;https://hdl.handle.net/21.12133/C2C8753F6EED4FE989396436D2528392;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4080/NL-RtSA_4080_XXVIII-15-32-01.jpg?format=thumb&size=500x500;;;
Q2923688;https://hdl.handle.net/21.12133/BC0D6D1B0100452783053BF3A096AB12;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4121/NL-RtSA_4121_5140-2-01.jpg?format=thumb&size=500x500;;;
Q2923688;https://hdl.handle.net/21.12133/69FFE1E1B0BD4ED3AAF3465E0D4D4CCF;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4080/NL-RtSA_4080_XXVIII-15-44-01.jpg?format=thumb&size=500x500;;;
Q2923688;https://hdl.handle.net/21.12133/54EC37A0C5ED49AB92EBC46A515616E1;https://preserve-gar.archieven.nl/mi-184/fonc-gar/4080/NL-RtSA_4080_XXVIII-15-43-1-01.jpg?format=thumb&size=500x500;;;
Q5590948;http://hdl.handle.net/10934/RM0001.COLLECT.6042;https://lh3.googleusercontent.com/gBpHcgAAcGtLBwX-ZT32yjGkWwjoch4LN3n4ZhV2TreRv_BNAG6uu-cGl_n63lJOXXvlH34s4H7wTMGh5q9qrz6BZpU=w1000;;;
Q5590948;http://hdl.handle.net/10934/RM0001.COLLECT.561284;https://lh3.googleusercontent.com/oysozZGp9nO3Te9nadrjfvPP1KFPskqtjO95kZ7XzOwc8y9SEzNqLmM6SmKe7T9t0v3gku9IhWmjk-S1V9l5BD6MAcE=w1000;;;
Q5590948;http://hdl.handle.net/10934/RM0001.COLLECT.121583;https://lh3.ggpht.com/MPNQwW0bU_O3flWLXNni0uUQajwQpo8n_L6qQ8cQtfgrnoFsaFAw0gF7bJv9cCThjNuGxLrUzxAtcK7-rmBMKPysxSU=w1000;;;
Q5590948;http://hdl.handle.net/10934/RM0001.COLLECT.349582;https://lh3.googleusercontent.com/zIwZGB2T3ms6RdzhfHoxndsqazUYwW1W5PRKH_70tXDGjzx2O4qWA0R9iNHCMVnZM5YdzHIEplZlkHTuFR2CKG11yeU=w500;;;
Q5590948;http://hdl.handle.net/10934/RM0001.COLLECT.287573;https://lh3.googleusercontent.com/LbyGgTyQoq5wLCQgzeHEHX0qKjyJJUKUAibV4FTCe_bTgAiSMPZfX9Lx3XBmzMPk7vhmc2uB15qzUdVVLJ6663ydlNlG=w500;;;
Q9900;http://hdl.handle.net/10934/RM0001.COLLECT.423053;https://lh3.googleusercontent.com/xvYt50mskSeKYWLJGVlQMG38uxb2KISxy6mMStAir8CzHAPEbCn0cLb_KegZb_skk2-TYTuXk-TgH9ljFKcu1WRjSGZKGrVqDQXQOFc9Hg=w1000;;;
Q2663130;http://hdl.handle.net/10934/RM0001.COLLECT.7769;https://lh3.googleusercontent.com/CKrxLJqyzjzEg8YAvWgYtJnXLTaNSnHcC4XjYQmhPSHMxIwLQfL2F-mVIi9relG9CX0QrZ6cLysAqNZafu9aFPT6w1pC=w500;;;
Q2663130;http://hdl.handle.net/10934/RM0001.COLLECT.318294;https://lh5.ggpht.com/Qe7zXMdJaHIX8Cis13klf6ut5b5x6qEtubx9IRGUyuViXZxNKQRHYu38i-0JXu5PuvmfQAqPsFN8OPBFR0q9AIdVY_vc=w500;;;
Q2663130;http://hdl.handle.net/10934/RM0001.COLLECT.12083;https://lh6.ggpht.com/5wHDyYD29KJ0pfXw62dJIvQvYEg1DsuCx50SjyKnXArIfks8F8hiT4bbTsceLMLTFsPU_aC47AYElCh6sstv0i9xjio=w500;;;
Q2663130;http://hdl.handle.net/10934/RM0001.COLLECT.342664;https://lh4.ggpht.com/Jd_vrzoT1j3YojEL9FOStPFSB6IrC8cQSvvhuPZsC7p1gOdL4x7SJIg2kDBtEcihNtvaIS_C9jSFK-Lo-rtAKB1M0iI=w500;;;
Q2663130;http://hdl.handle.net/10934/RM0001.COLLECT.318216;https://lh3.googleusercontent.com/2t3MZRPSe1lCAFaZxZaFVv3I0hCBebZDguToHx1RhEZIIj9ZDXZAJ7jqAhc_rpvkau3bNkJbYFcV6mgAWtT2BqF7PHA=w500;;;
Q2663130;http://hdl.handle.net/10934/RM0001.COLLECT.431597;https://lh5.ggpht.com/mC25RMwXcujSzGV7_oOPWb_Ms0QplyHBVCaQo-Z8tNu9xR9OaViQXf7XMpMZwqZQ_JtP0nKGn0D6NQxg4nNoLvkH3u0=w500;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/c4e15913-a138-4b95-a72b-01a867cb3f0b/media/ee251587-0a40-aa84-fcda-fd1080ac3b52;https://images.memorix.nl/hga/thumb/500x500/ee251587-0a40-aa84-fcda-fd1080ac3b52.jpg;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/e24559eb-f89e-4c36-b47a-e39c96991eee/media/21bfd15c-6d25-4265-b4d3-4298236c5c4b;https://images.memorix.nl/hga/thumb/500x500/21bfd15c-6d25-4265-b4d3-4298236c5c4b.jpg;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/9ed85859-88cd-408f-a5cf-0112ae42cc8b/media/46e8421c-8d3f-44ed-8d0a-cb120d067c64;https://images.memorix.nl/hga/thumb/500x500/46e8421c-8d3f-44ed-8d0a-cb120d067c64.jpg;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/e8c9e2d6-02de-43a5-9bf6-a1c5cc88022c/media/7380f498-3a44-472b-854c-07aea9a898ce;https://images.memorix.nl/hga/thumb/500x500/7380f498-3a44-472b-854c-07aea9a898ce.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/0893DFFE22A9B46A372740F5226631D1;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/e882b8d1-5446-2405-3825-b81951255ad6.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/E8C1D64AFB8E11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/bd9548dc-34d9-18cd-4ebb-54fa5125df0a.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/42530BCAFB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/6ee490f8-a777-2d72-3ae8-b089fd268e7d.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/424FB380FB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/44c879f6-2e7d-3b00-039b-94cbec0a5b21.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/60642B3AFB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/c50dd3c6-56a3-0b15-0163-3fa6e899cce8.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/41802CFAFB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/2eb29c89-8cff-dfd7-a5bf-7b2dac5fb64f.jpg;;;
